gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029009	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
GeneID:26646064	69.17	69.17	99.262	69.17	97.363	98.629	98.207	69.17	70.692	96.097	98.101	98.734	71.077	70.751
GeneID:26645794			98.38		97.454	98.148	95.139			95.139	98.38	94.907		
GeneID:26645795			98.268		94.69	98.268	95.671			97.403	98.684	91.342		
GeneID:26645796			99.537		93.981	91.435	97.222			96.991	99.306	96.759		
GeneID:26645797			97.368		93.86	97.368	91.228			97.368	90.654	95.169		
GeneID:26645798			98.485		94.156	97.619	95.455			97.619	90.043	96.104		
GeneID:26645799			98.858		94.222	95.205	98.402			95.434	95.662	95.662		
GeneID:26645800			98.512		94.048	96.726	99.107			96.429	94.643	98.81		
GeneID:26645801			99.608		97.255	100.0	96.863			100.0	99.216	98.824		
GeneID:26645802			97.119		97.647	100.0	96.863			100.0	96.471	97.531		
GeneID:26645804			98.261		99.13	99.71	98.039			99.13	97.681	98.551		
GeneID:26645805					97.368	97.368	98.276			100.0	95.977	98.851		
GeneID:26645807			97.268		100.0	100.0				98.684	97.268			
GeneID:26645808					100.0	100.0				98.83				
GeneID:26645809			97.884		97.619	97.619	99.483			99.471	97.884			
GeneID:26645810			81.205		97.826	97.826	99.517			80.723	81.205	90.821		
GeneID:26645811											96.296			
GeneID:26645812			94.017		93.162	93.162	92.308				94.017	83.486		
GeneID:26645813					99.43	99.43	99.43	67.82		100.0	79.552	84.046	68.056	
GeneID:26645814	65.594	65.594	95.588		98.366	98.366	92.81	65.191	64.516	97.222	96.501	95.752	64.516	66.129
GeneID:26645815			100.0		98.413	98.413	98.413			98.016	99.206	99.603		
GeneID:26645817							98.958			98.542	99.167	98.75		
GeneID:26645818	66.051	66.049	97.436		94.872	94.872	97.462	65.0		97.571	97.301	97.706		65.612
GeneID:26645820			93.836				93.607			94.749	95.205	93.836		
GeneID:26645821			86.5		96.465	96.465	98.485			96.97	97.98	97.475		
GeneID:26645822			87.006		97.74	97.74	91.525			93.22	87.006	87.006		
GeneID:26645823			96.104		98.485	98.485	97.619			96.32	98.268	96.32		
GeneID:26645824			97.884		97.354	97.354	97.354			96.825	97.354	97.884		
GeneID:26645825			98.512		98.806	98.806	97.321			99.104	97.024	98.81		
GeneID:26645826			99.011		99.294	99.294	97.881			99.011	97.316	98.588		
GeneID:26645827			96.203		95.57	95.57	91.121			90.909	90.698	96.203		
GeneID:26645829			94.99		94.605	95.183	96.146			94.798	94.798	95.183		
GeneID:26645830			93.296		92.179	92.179	92.222			92.179	92.179	93.855		
GeneID:26645831			98.087		96.995	97.541	98.087			97.814	98.361	98.087		
GeneID:26645832														
GeneID:26645833					96.517	96.517								
GeneID:26645834			95.754		99.363	99.363	97.24			96.815		97.24		
GeneID:26645835			95.043		96.774	96.559	96.859			97.419	95.259	97.414		
GeneID:26645836			94.659		98.895	98.895	96.501			89.687	95.764	95.764		
GeneID:26645837			98.83		98.246	98.246				98.83	98.246	98.246		
GeneID:26645839			98.039		98.039	98.319	98.039			98.039	98.319	98.319		
GeneID:26645840			95.584		94.911	94.911	95.065			95.065	95.844	95.584		
GeneID:26645841			96.209		96.133	96.133	96.641			95.972	96.209	95.972		
GeneID:26645842			95.582		96.386	96.386	95.181			95.181	95.181	95.181		
GeneID:26645843			94.38		94.186	94.186	94.961			94.961	93.411	94.186		
GeneID:26645844			91.919		95.455	95.455	92.424			92.424	91.414	93.434		
GeneID:26645845			85.821		85.075	85.075	94.521			94.521		97.945		
GeneID:26645846			77.748		78.133	78.133	94.737			94.737		96.842		
GeneID:26645847			90.972		97.203	97.902	95.804			98.601	90.972	98.601		
GeneID:26645848			96.25		97.222	97.619	97.222			98.413	96.25	98.81		
GeneID:26645849			96.0		94.222	94.222	96.0			95.556	95.111	96.889		
GeneID:26645850			96.875		94.792	94.792	95.833			95.833	96.354	96.875		
GeneID:26645851			95.752							96.41	95.425			
GeneID:26645852										98.649				
GeneID:26645854			95.833		98.718	98.718	97.436			98.397	98.718	98.397		
GeneID:26645855	94.966		94.737	93.421	95.95	95.95	95.638			95.302	94.393	95.95		93.421
GeneID:26645856											99.257	98.524		
GeneID:26645857					97.368	97.368					97.807	97.807		
GeneID:26645859			98.844		97.11	97.11					97.688			
GeneID:26645861			86.0		92.369	92.369					86.0			
GeneID:26645863			92.109		90.948	90.948	90.948			89.67	92.96	87.679		
GeneID:26645866	80.444	80.0	81.696	77.679				79.464			79.911	93.333		78.222
GeneID:26645867			92.917						72.892		92.917			
GeneID:26645869			96.855								95.597	96.226		
GeneID:26645870			96.842							89.474	94.737			
GeneID:26645871	82.075	75.141	97.175	76.271				74.576			92.614			76.271
GeneID:26645873											93.452			
GeneID:26645874	87.594			88.015			93.258		84.586	90.637	94.007			87.64
GeneID:26645876											99.02			
GeneID:26645877			94.167		97.222	97.222	95.833			94.722	96.389	94.722		
GeneID:26645878			95.755		97.642	97.642	96.698			96.698	97.642	97.17		
GeneID:26645879			100.0		98.477	98.477	98.985			98.985	100.0	97.449		
GeneID:26645880			100.0		98.864	98.864	98.864			98.864	100.0	97.143		
GeneID:26645881			94.949		97.475	97.475	98.387			97.475	94.624			
GeneID:26645883					97.454	97.454	99.306				96.991			
GeneID:26645884					83.448	83.448				85.287				
GeneID:26645886			97.643		95.96	95.96	95.205			91.83	97.306	92.123		
GeneID:26645888			97.101		96.618	96.618	96.117			96.602	98.058	96.602		
GeneID:26645889			96.476		98.268	98.268	97.403				96.035	98.701		
GeneID:26645891			97.561				97.561				99.187	97.154		
GeneID:26645892			98.519		99.517	99.517	94.686			99.034	97.101	99.034		
GeneID:26645894			96.939		96.587	96.587			75.347	96.587	96.259		79.021	
GeneID:26645895			97.163		97.872	97.872	100.0			93.617	100.0	100.0		
