gene	Ben	Bill	Bob	Bop	Car	Carl	NC_027335	NC_029026	KY549443	AP018714	NC_009904	AP018715	TEX	V12_RAST
GeneID:26644569									97.342				98.773	98.23
GeneID:26644312	95.929	97.455		89.313					82.952				89.313	98.219
GeneID:26644313														
GeneID:26644314	98.246													
GeneID:26644315	94.792	95.833		95.833										95.833
GeneID:26644316	98.889	97.778	80.882	98.333				74.576			78.302			98.333
GeneID:26644317	96.759			92.593										
GeneID:26644318	99.315	97.26		96.599					94.558					97.279
GeneID:26644319	95.536	96.429	84.821	94.667				79.464			85.333	79.018		95.089
GeneID:26644320	97.884			97.884									98.942	98.413
GeneID:26644321													92.181	
GeneID:26644322													93.467	
GeneID:26644323	90.476	91.429		96.19			95.238		90.476	92.381			89.524	90.476
GeneID:26644324	98.502													97.753
GeneID:26644325														
GeneID:26644326													93.427	
GeneID:26644327	99.528	97.642		97.642										97.642
GeneID:26644328	99.603	97.222		97.619										97.619
GeneID:26644329	97.717	98.174							84.889				88.444	
GeneID:26644330	95.614	97.807		95.175					90.351				92.544	94.298
GeneID:26644331	97.436	97.009		96.581									93.162	96.581
GeneID:26644332	95.719	96.33												
GeneID:26644333	96.774	96.774		89.61					89.333				92.208	89.61
GeneID:26644334				90.805					87.356				94.253	90.805
GeneID:26644335	96.522	95.942		93.696					86.446					93.696
GeneID:26644336	96.575	96.119		99.087					97.032					99.315
GeneID:26644337	96.875	96.094		98.438					95.313					99.219
GeneID:26644339	92.593	93.651		99.471									99.471	99.471
GeneID:26644340	96.036	96.036		99.64									94.384	94.384
GeneID:26644341	96.714	96.714												
GeneID:26644342	93.387	93.252		90.872			71.596		86.939			71.157	87.075	91.417
GeneID:26644343	95.473	96.296		95.473					90.123				90.947	95.062
GeneID:26644344	66.244	65.99							91.579				91.579	
GeneID:26644345									93.78				93.78	
GeneID:26644346	96.592	99.06		98.12					89.256				89.374	97.297
GeneID:26644347	98.765	100.0		100.0					87.189				87.189	100.0
GeneID:26644348	100.0	100.0		100.0					93.878				92.517	100.0
GeneID:26644349	98.925	100.0		100.0					89.007				87.943	97.849
GeneID:26644350	95.906	98.538		99.123										96.199
GeneID:26644351	90.476			90.909					91.628					94.805
GeneID:26644352	99.174	99.174		99.174					96.581				85.345	99.174
GeneID:26644353	98.99	99.327		98.99					88.552				80.822	97.306
GeneID:26644354	99.776	99.553		99.151					76.852				75.964	98.434
GeneID:26644355	95.99	95.99		97.243					85.176				84.04	97.243
GeneID:26644356	99.621	99.621		99.242					96.591				96.591	99.242
GeneID:26644357	97.92	98.043		98.287					95.719				95.963	97.859
GeneID:26644359	96.573	96.262		94.081					94.081				92.835	97.819
GeneID:26644360	92.994	93.631		97.419					96.129				95.484	98.71
GeneID:26644361	97.432	97.568		98.514				65.0	89.7				90.148	97.973
GeneID:26644362	98.942	98.942		97.354					96.899				96.825	97.354
GeneID:26644363	96.059	96.059		96.716	65.0	65.0		65.191	93.432	65.06			93.432	95.567
GeneID:26644364	97.743	98.611		98.611					95.313				95.139	98.785
GeneID:26644366	97.175	97.363		96.987					96.987				97.363	98.031
GeneID:26644367	97.721	97.721		99.145				67.687	97.151	67.687	69.038	67.219	96.296	98.006
GeneID:26644368	90.411	93.607		94.064					96.889				92.237	94.667
GeneID:26644369	85.537	85.537		95.635									95.238	96.552
GeneID:26644370	85.268	85.268												
GeneID:26644371	78.261	78.696		83.824										83.824
GeneID:26644372	92.593	92.593											95.48	
GeneID:26644373	94.366	94.366		97.183					97.183				97.183	95.775
