gene	AP018714	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
ENPKHIHN_00001	98.889			100.0		100.0	100.0			100.0		100.0	100.0		
ENPKHIHN_00002	100.0	67.133	67.133	100.0	67.133	99.301	99.301	67.133	67.133	100.0	67.133	100.0	100.0	67.133	67.133
ENPKHIHN_00003	100.0	92.537	92.537	100.0	92.537	100.0	100.0	92.537	92.537	100.0	92.537	100.0	100.0	92.537	92.537
ENPKHIHN_00004	100.0	92.0	92.0	100.0	92.0			92.0	92.0	100.0	92.0	100.0	100.0	92.0	92.0
ENPKHIHN_00005	100.0	86.232	86.232	100.0	86.232	100.0		86.594		99.078	86.594	100.0	99.638	86.232	89.61
ENPKHIHN_00006						99.675	99.675								
ENPKHIHN_00007	100.0	79.195	79.195	100.0	79.195	100.0	99.329	79.195	77.064	100.0	79.195	100.0	100.0	79.195	77.064
ENPKHIHN_00008	98.479	52.529	52.529	98.479	52.529	98.479	97.338	52.529	52.918		52.529	97.338	98.099	52.529	52.529
ENPKHIHN_00009	99.582	50.213	50.213	100.0	50.213	100.0	98.745	50.213	50.213	100.0	50.213	98.745	100.0	50.213	50.213
ENPKHIHN_00010	98.261			100.0		97.391	98.261			99.13		99.13	100.0		
ENPKHIHN_00011	97.241	91.477	91.477	99.655	91.477	97.586	97.931	85.792	83.607	96.212	91.477	99.31	99.655	85.792	91.477
ENPKHIHN_00012	99.13			100.0		99.13	100.0			100.0		99.13	100.0		
ENPKHIHN_00013	99.639	83.779	83.779	99.818	83.779	99.638	99.811	83.779	83.779	99.819	83.779	99.639	99.812	83.779	83.779
ENPKHIHN_00014	99.363	80.645	80.645	100.0	80.645	99.363	100.0	80.645	80.645	100.0	80.645	100.0	99.363	80.645	80.645
ENPKHIHN_00015	98.71			98.71		94.41	98.101			100.0		98.71	98.71		
ENPKHIHN_00016	99.569	85.225	85.225	99.569	85.225	98.06	100.0	84.582	85.439	99.118	85.439	100.0	99.569	85.225	85.225
ENPKHIHN_00017	98.864			100.0		100.0	100.0			93.182		100.0	100.0		
ENPKHIHN_00018	99.333	83.333	83.333	99.333	83.333	99.333	100.0	83.333	83.333	99.333	83.333	99.333	99.333	83.333	83.333
ENPKHIHN_00019	99.655	71.134	71.134	99.31	71.134	99.655	100.0	70.79	70.79	99.655	71.134	99.655	99.31	71.134	71.134
ENPKHIHN_00020	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25	100.0	81.25	100.0	100.0	81.25	81.25
ENPKHIHN_00021	100.0	75.177	75.177	99.645	75.177	99.645	100.0	75.532	75.532	100.0	75.177	99.645	99.645	75.532	75.177
ENPKHIHN_00022	99.474	85.614	85.439	99.474	85.439	90.877	90.877	84.737	84.737	99.298	85.088	99.123	99.474	85.088	85.439
ENPKHIHN_00023	100.0	97.163	97.163	100.0	97.163	100.0	100.0	97.163	97.163	100.0	97.163	100.0	100.0	97.163	97.163
ENPKHIHN_00024	99.367	72.785	72.785	100.0	72.785	100.0	100.0	72.152	72.152	100.0	72.785	100.0	100.0	72.152	72.785
ENPKHIHN_00025	100.0	79.897	79.897	100.0	79.897	100.0	100.0	79.381	79.381	99.479	79.897	100.0	99.479	79.381	79.897
ENPKHIHN_00026	99.918	68.481	68.481	98.687	68.562	99.754	99.754	67.997	67.018	99.912	68.481	99.754	98.605	68.73	68.481
ENPKHIHN_00027	99.812	71.021	71.021	99.812	71.021	99.623	99.623	71.799	71.084	100.0	71.021	99.812	99.906	70.953	71.581
ENPKHIHN_00028	99.945	73.232	72.666	98.302	73.339	97.097	98.686	72.161	71.741	99.945	73.339	96.057	98.467	72.666	73.316
ENPKHIHN_00029	89.106	55.926	56.597	94.9	56.049	96.393	96.517	56.604	54.635	99.254	56.597	96.02	95.808	56.226	58.874
ENPKHIHN_00030				98.34		97.51	97.51			98.785		97.095	97.095		
ENPKHIHN_00031	100.0	62.222	60.0	100.0	62.222	100.0	100.0	61.538	61.538	100.0	64.444	100.0	100.0	62.222	62.222
ENPKHIHN_00032	99.13	78.07	78.07	99.13	78.07	98.696	98.696	77.632	77.632	100.0	77.632	99.565	98.261	78.07	78.07
ENPKHIHN_00033	99.441	85.475	86.034	100.0	85.475	100.0	100.0	86.034	86.034	100.0	86.034	99.441	99.441	86.034	86.034
ENPKHIHN_00034	99.574	82.403	83.262	99.149	82.403	99.149	99.149	82.403	81.974	100.0	82.403	99.574	99.574	82.403	82.833
ENPKHIHN_00035	99.715	86.228	85.928	99.145	86.228	98.575	98.575	86.228	86.527	99.715	85.928	99.43	99.145	86.527	86.228
ENPKHIHN_00036	80.499	66.667	67.16		66.814			68.764	64.74	99.401	67.16	98.503		52.973	66.667
