gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	phief24c_oriented	TEX	V12_RAST
IJMJAIPA_00001	96.519	99.684	58.232	58.537	99.684	58.537	98.734	100.0	59.006	65.635	100.0	58.232	99.367	65.635	58.537
IJMJAIPA_00002	86.275	82.353			98.039		98.039	98.039	50.0		82.353		98.039		
IJMJAIPA_00003	93.75	93.056			97.917		95.833	96.528			93.75		97.917		
IJMJAIPA_00004	97.403	87.879			97.403		92.424	97.403			96.104		96.104		
IJMJAIPA_00005	95.833	95.139			98.611		93.056	86.111			94.444		98.611		
IJMJAIPA_00006	93.421	92.754			94.737		89.474	92.105			89.189		84.722		
IJMJAIPA_00007	98.052	97.403			98.701		93.506	97.403			94.805		90.26		
IJMJAIPA_00008	95.205	94.521			97.945		92.0	95.205			97.945		94.521		
IJMJAIPA_00009	97.321	100.0			99.107		97.297	96.429			100.0		97.321		
IJMJAIPA_00010	100.0	98.824			100.0		97.647	100.0			98.824		100.0		
IJMJAIPA_00011	100.0	97.647			97.647		97.647	100.0			96.471		97.647		
IJMJAIPA_00012	99.13	98.261			99.13		99.13	99.13					97.391		
IJMJAIPA_00013	100.0	98.276			96.552						96.552		98.276		
IJMJAIPA_00014	100.0				98.361		100.0	100.0					98.361		
IJMJAIPA_00015	100.0						98.901	98.901							
IJMJAIPA_00016	98.425				95.276		93.701	93.701			99.225		95.276		
IJMJAIPA_00017	71.739	89.13			71.739		97.826	97.826			99.275		71.739		
IJMJAIPA_00018	97.436	77.778			92.308		89.744	89.744			87.179		92.308		
IJMJAIPA_00019	100.0	84.906	60.606	60.606	72.642	61.616	100.0	100.0	60.606	60.606	99.057	61.616	72.642	61.616	61.616
IJMJAIPA_00020	97.549	96.569	55.941	55.941	96.569	55.446	98.529	98.529	55.446	56.931	94.608	55.446	96.569	56.931	56.436
IJMJAIPA_00021	100.0	100.0	51.724	51.724	100.0		100.0	100.0	50.0	51.724	100.0	51.724	98.361	51.724	50.0
IJMJAIPA_00022	99.375	100.0			100.0		100.0	100.0			100.0		99.375		
IJMJAIPA_00023	98.246	98.246	59.545	59.545	98.684	60.0	96.053	96.053	59.545	59.091		59.545	98.246	59.545	60.0
IJMJAIPA_00024	97.222	93.056			94.444		64.789	64.789			97.222		95.833		
IJMJAIPA_00025	100.0	100.0			83.333		100.0	100.0			98.485		100.0		
IJMJAIPA_00026	93.22	84.746			84.746		98.305	98.305			89.831		84.746		
IJMJAIPA_00027	95.455	96.104			95.455		98.052	98.052			97.403		98.701		
IJMJAIPA_00028	95.238	96.825			96.825		95.238	95.238			95.238		95.238		
IJMJAIPA_00029	98.729	97.034			97.881		98.729	98.729			96.61		95.339		
IJMJAIPA_00030	86.076	95.57			95.57		94.937	94.937			85.443		84.81		
IJMJAIPA_00031	94.798	95.376			95.954	53.012	96.532	96.532	54.217	54.268	97.11		95.376	54.217	53.012
IJMJAIPA_00032	88.095	89.091			87.273		88.095	88.095			88.095		88.095		
IJMJAIPA_00033	96.721	98.361			98.361		98.361	98.361			98.361		97.541		
IJMJAIPA_00034			50.746	50.746			94.03	94.03	50.746			50.746		50.746	
IJMJAIPA_00035	99.363	99.363			96.178		98.726	98.726			97.452				
IJMJAIPA_00036	98.065	98.065			94.839		98.065	98.065			96.032		94.839		
IJMJAIPA_00037	87.222	95.556			93.333		98.889	98.889			96.111		95.556		
IJMJAIPA_00038	98.182	96.491			96.491		96.364	96.364					96.491		
IJMJAIPA_00039	99.123	100.0			100.0		100.0	100.0			99.123		100.0		
IJMJAIPA_00040	91.406	92.188			92.188		92.188	92.188			91.406		92.188		
IJMJAIPA_00041	86.188	86.74			86.74		95.58	95.58			97.115		86.74		
IJMJAIPA_00042	96.386	96.386			96.386		98.795	98.795			96.386		97.59		
IJMJAIPA_00043	95.349	91.279			94.186		92.442	92.442			94.767		93.023		
IJMJAIPA_00044	93.939	93.939			92.424		95.455	95.455			92.424		93.939		
IJMJAIPA_00045											92.453				
IJMJAIPA_00046	96.063	99.213			72.441		73.228	73.228			96.063		73.228		
IJMJAIPA_00047	98.81	98.81			93.976		97.619	97.619			96.429		93.976		
IJMJAIPA_00048	97.333	97.333			97.333		97.333	97.333			97.333		97.333		
IJMJAIPA_00049	93.75	95.313			95.313		89.063	89.063			93.75		95.313		
IJMJAIPA_00050					95.098								94.118		
IJMJAIPA_00051	97.115	99.038			94.231		98.077	98.077			98.077		99.038		
IJMJAIPA_00052	94.949	93.458	91.176		90.099	88.119	95.327	95.327			94.949		92.523		88.119
IJMJAIPA_00053		98.901	62.637	62.637			97.802	97.802					98.901		
IJMJAIPA_00054		97.368					96.053	96.053					97.368		
IJMJAIPA_00055													96.667		
