gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029026	phief24c_oriented	TEX	V12_RAST
MHALOBAC_00001			100.0	100.0		100.0			95.652	91.304				91.304	97.826
MHALOBAC_00002									96.319	96.933				97.546	
MHALOBAC_00003			94.737	96.053		88.235			87.582	79.085				86.928	97.368
MHALOBAC_00004			97.826	99.275		99.275			92.754	94.203				94.203	97.101
MHALOBAC_00005			98.113	97.17											
MHALOBAC_00006	52.778		95.313	98.438		98.438	53.448	53.448			53.448	53.448	53.448		98.438
MHALOBAC_00007			96.97	98.485		98.485									98.485
MHALOBAC_00008			98.333	95.0		96.667							51.724		96.667
MHALOBAC_00009			97.222			94.444									
MHALOBAC_00010	58.333		100.0	100.0	56.25	100.0				91.837		56.25	56.25		100.0
MHALOBAC_00011		74.667	98.667	100.0	79.73	98.667						73.333	81.333		96.0
MHALOBAC_00012			95.238			95.238								98.413	95.238
MHALOBAC_00013									88.889					88.889	
MHALOBAC_00014			100.0	100.0											100.0
MHALOBAC_00015			95.775	95.775					92.958					92.958	
MHALOBAC_00016			100.0	100.0		96.429									96.429
MHALOBAC_00017			97.26	100.0					87.671	84.0				88.0	
MHALOBAC_00018			96.053	96.053		93.421			93.421	89.474				93.421	92.105
MHALOBAC_00019			98.305	96.61											
MHALOBAC_00020			92.157	93.137											
MHALOBAC_00021			100.0	100.0		96.97			98.485	87.879		50.746		100.0	96.97
MHALOBAC_00022			96.364	94.545		90.909			78.182	85.455				76.364	90.909
MHALOBAC_00023			96.85	96.85		89.922				85.366					89.922
MHALOBAC_00024			97.945	97.26		99.315				95.89					99.315
MHALOBAC_00025			98.554	98.554		98.554			98.795	98.313				98.554	98.795
MHALOBAC_00026			92.063	92.063		100.0			100.0	100.0				100.0	100.0
MHALOBAC_00027			96.356	96.356		100.0			93.117					92.308	92.713
MHALOBAC_00028			98.592	98.592											
MHALOBAC_00029		69.328	94.332	93.522		93.902				91.463	71.806			91.87	93.902
MHALOBAC_00030			96.296	97.531		96.296				91.358				92.593	96.296
MHALOBAC_00031			50.394	50.394		50.394				91.339				90.551	
MHALOBAC_00032			97.183	99.648		98.592			95.035	92.199				92.199	98.239
MHALOBAC_00033			100.0	100.0		100.0			96.154	94.872				94.872	100.0
MHALOBAC_00034			98.925	100.0		100.0			91.304	92.391				91.304	98.925
MHALOBAC_00035			95.614	99.123		100.0			96.396						95.614
MHALOBAC_00036			88.312	89.61		92.208			89.61	90.909				89.61	94.805
MHALOBAC_00037			100.0	100.0		100.0			82.828	93.939				82.828	97.98
MHALOBAC_00038			99.329	98.658		98.726			71.141	71.141				70.47	97.987
MHALOBAC_00039			99.248	99.248		99.248			80.451	84.211				82.707	100.0
MHALOBAC_00040			100.0	100.0		100.0			96.591	95.455				93.182	100.0
MHALOBAC_00041			99.074	99.306		99.537			97.917	96.759				97.685	99.306
MHALOBAC_00042			99.065	98.131		94.393			95.327	94.393				94.393	100.0
MHALOBAC_00043	59.545	59.545	96.761	97.166	59.545	99.19	60.0	60.0	91.903	91.903		59.545	59.091	92.308	99.19
MHALOBAC_00044	51.724	50.617	97.674	97.674	51.724	95.349	51.724	51.852	97.674	96.512	51.724	51.724	51.724	96.512	96.512
MHALOBAC_00045	54.95	55.665	99.507	99.015	55.665	98.522	55.941	55.941	97.044	97.044	54.95	55.446	55.665	97.044	98.522
MHALOBAC_00046			100.0	100.0		99.479			97.396	98.438				98.438	100.0
MHALOBAC_00047			99.435	100.0		99.435			100.0	99.435				98.305	
MHALOBAC_00048	61.616	57.282	98.291	98.291	57.843	100.0	61.616	61.616	98.291	98.291	60.606	61.616	57.843	97.436	99.145
MHALOBAC_00049			90.667	90.667		90.667			72.727	94.667				92.0	96.0
MHALOBAC_00050			82.558	82.558		94.253			96.512					94.253	96.552
MHALOBAC_00051			82.432	82.432											
MHALOBAC_00052			71.053	72.368											
MHALOBAC_00053															
MHALOBAC_00054			95.745	95.745		96.277			96.277	95.213				94.149	96.809
MHALOBAC_00055			94.086	94.624		93.548									94.624
MHALOBAC_00056			90.909	90.909		91.304				92.481					91.304
MHALOBAC_00057			99.099	99.099		98.198									98.198
MHALOBAC_00058		91.339	98.45	98.519		98.519		91.339		95.556	91.339		91.339		98.519
MHALOBAC_00059		61.765	100.0	100.0		98.529		60.294	100.0	100.0	61.765		61.765	97.059	98.529
MHALOBAC_00060															
MHALOBAC_00061		94.306	97.153	97.153		97.153		94.306	96.085	96.441	93.95		94.306	96.441	97.153
MHALOBAC_00062			99.512	99.512		100.0			98.537	99.512				99.512	98.049
MHALOBAC_00063			98.98	98.98		98.98			94.898	96.939				96.939	93.878
MHALOBAC_00064	57.927	58.232	99.065	99.688	57.927	99.688	57.622	58.232	81.931	81.269	58.232	58.232	57.927	80.967	94.081
MHALOBAC_00065			92.857	99.048		91.905			84.286	86.667				85.238	96.667
MHALOBAC_00066			99.6	100.0		99.6			97.6	97.2				97.6	99.2
MHALOBAC_00067			100.0	99.359		100.0			75.641	75.641				75.0	100.0
MHALOBAC_00068			100.0	100.0		100.0									98.864
