gene	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029009	NC_029026	phief24c_oriented	TEX	V12_RAST
NIGGIMMC_00001	98.519			98.519		99.259	99.259			98.519		98.519	98.519		
NIGGIMMC_00002	99.301			99.534		98.834	98.834			99.359		99.068	99.301		
NIGGIMMC_00003	99.51	76.617	76.617	98.5	77.114	98.0	98.0	76.617	77.114	99.51	76.617	98.5	98.5	76.617	76.617
NIGGIMMC_00004	97.688	79.085	79.739	98.703	78.954	97.009		79.346		97.864	79.869	97.406	97.543	79.346	79.377
NIGGIMMC_00005	99.105	76.092	74.885	99.105	75.346	99.105	97.987	75.283	73.832	99.105	75.346	97.763	98.881	75.283	75.159
NIGGIMMC_00006	98.352			98.606		99.873	96.705					96.831	98.986		
NIGGIMMC_00007	98.047	67.594	67.396	97.629	66.998	98.466	98.187	67.46	67.594	97.908	67.396	98.745	98.047	67.46	67.197
NIGGIMMC_00008	95.942			96.232		97.391	99.13			95.362		96.232	96.232		
NIGGIMMC_00009	93.448	86.486	86.486	93.448	86.1	99.195	98.851	84.416	81.818	93.245	86.486	93.563	93.333	83.859	86.486
NIGGIMMC_00010	97.971			97.971		99.71	98.261			98.261		100.0	98.261		
NIGGIMMC_00011	96.149	79.218	79.203	95.871	79.363	99.036	95.543	79.508	79.508	96.029	79.275	99.097	95.802	79.435	79.218
NIGGIMMC_00012	98.938	75.107	75.107	99.363	75.107	98.726	98.938	75.536	75.751	98.938	75.107	99.575	99.363	75.536	75.107
NIGGIMMC_00013	98.495			100.0		94.617	96.624			98.495		99.355	100.0		
NIGGIMMC_00014	99.211	82.224	82.151	99.928	82.078	98.351	99.211	81.56	81.858	99.318	82.078	99.14	99.857	81.738	82.078
NIGGIMMC_00015	99.621			98.485		98.864	99.621			91.288		99.621	98.864		
NIGGIMMC_00016	96.556	76.671	76.436	98.667	75.889	98.222	96.556	75.889	76.0	98.333	76.436	99.889	98.556	76.671	76.671
NIGGIMMC_00017	99.08	72.491	72.308	98.851	72.071	99.08	99.08	72.189	71.716	99.425	72.426	99.31	98.966	72.308	72.071
NIGGIMMC_00018	98.878	72.698	72.698	99.679	72.698	99.519	98.878	73.492	73.175	98.86	72.698	98.878	99.679	73.333	73.175
NIGGIMMC_00019	99.882	74.087	74.558	99.527	74.087	99.645	99.764	74.558	74.558	100.0	74.441	98.818	99.645	74.558	74.087
NIGGIMMC_00020	99.591	81.627	81.627	99.649	81.568	91.754	91.754	81.685	81.356	99.649	81.276	98.83	99.649	81.765	81.568
NIGGIMMC_00021	99.738	88.347	88.076	99.213	88.076	99.237	99.237	87.805	86.792	98.982	88.618	99.213	99.213	88.076	88.076
NIGGIMMC_00022			93.605			99.458	99.458			97.651		99.423			
NIGGIMMC_00023	98.734	73.176	73.176	98.945	73.176	99.156	99.156	74.118	73.882	99.156	73.647	98.101	98.945	74.118	73.176
NIGGIMMC_00024	99.826	78.351	77.625	99.826	77.625	99.306	99.306	77.663	77.312	99.306	78.351	99.653	99.653	77.835	78.351
NIGGIMMC_00025	98.551	69.634	69.661	96.5	69.634	97.84	97.84	69.187	70.786	98.476	69.743	97.812	96.773	69.492	69.634
NIGGIMMC_00026	99.498	70.162	69.324	99.215	70.397	98.211	98.211	69.945	70.066	99.408	70.234	98.18	99.215	70.065	70.162
NIGGIMMC_00027	99.471	72.167	71.244	97.39	71.771	96.879	98.101	71.992	71.408	99.58	71.815	95.182	97.645	71.739	72.196
NIGGIMMC_00028	99.561	63.767	63.506	93.87	63.767	96.925	97.511	64.992	63.267	97.121	63.348	96.681	92.893		63.278
NIGGIMMC_00029															
NIGGIMMC_00030	99.32			98.639		98.639	98.639			99.32		99.32	98.639	72.857	
NIGGIMMC_00031	98.984	74.184	74.629	98.696	74.184	98.551	98.551	74.184	74.704	98.356	74.332	98.984	98.406	74.926	74.332
NIGGIMMC_00032	97.207	75.51	76.438	97.02	75.51	97.393	97.393	76.067	76.994	97.207	76.067	97.02	98.696	75.279	75.651
NIGGIMMC_00033	97.447	76.618	77.172	97.872	76.618	97.872	97.872	76.289	76.289	97.447	76.765	98.298	97.73	75.994	77.467
NIGGIMMC_00034	99.24	76.447	76.148	97.411	76.447	97.411	97.411	78.144	77.445	99.335	76.547	99.05	99.329	78.443	76.447
NIGGIMMC_00035	97.945									98.826		98.826			
NIGGIMMC_00036	97.917	74.454	74.017	98.125	74.672	97.917	97.917	72.707	74.454	97.917	74.017	97.917	98.542	73.144	74.672
NIGGIMMC_00037	99.307	81.994	81.879	98.384	82.008	99.163	98.961	81.3	81.771	99.155	82.074	98.672	98.5	81.736	81.964
NIGGIMMC_00038	95.639	90.239		90.637	90.135	100.0	100.0	90.031	92.739	95.639	90.135				90.447
NIGGIMMC_00039	99.206			100.0		100.0	96.032			99.206		99.206	100.0		
NIGGIMMC_00040	99.18						84.738		69.724	99.284					
NIGGIMMC_00041	100.0			99.463		98.927	98.927			99.598		99.329	99.262		
NIGGIMMC_00042	99.932	76.929	76.704	99.457	76.629	99.185	99.185	77.154		99.253	76.479	99.185	99.525	77.004	77.303
NIGGIMMC_00043	100.0	73.073	72.992	97.727	73.073	98.201	98.201	73.166	72.4	97.538	73.073	97.254	98.106	72.864	73.166
NIGGIMMC_00044	99.208			99.049		98.891	98.891			99.155		98.732	98.943		
NIGGIMMC_00045	97.447	67.174	66.952	97.147	67.174	96.246	96.246	66.44	65.574	97.598	67.174	96.246	96.997	66.102	66.269
NIGGIMMC_00046	100.0	69.612	70.151	98.772	69.73	99.056	99.056	69.72	69.172	98.787	69.622	97.545	99.528	69.514	69.397
NIGGIMMC_00047	99.842			86.834		98.736	98.736			96.693		99.052	86.834		
NIGGIMMC_00048	99.887	71.429	71.262	97.514	71.262	97.74	97.74			98.418	71.262	98.529	98.87	70.579	70.083
NIGGIMMC_00049	100.0			98.268		100.0	100.0			98.701		99.134	98.268		
NIGGIMMC_00050	100.0			98.706		99.029	99.029			98.382		99.353	98.382		
NIGGIMMC_00051	100.0			99.679		100.0	100.0			99.679		99.038	99.359		
NIGGIMMC_00052	100.0	71.815	72.587	98.118	71.815	97.849	97.849	72.201	72.201	100.0	71.815	98.656	98.118	72.587	72.587
NIGGIMMC_00053	100.0	71.302	70.772	99.402	70.623	99.103	99.103	71.893	71.482	99.851	70.623	99.103	98.954	71.217	71.746
NIGGIMMC_00054	99.667			98.667		99.0	99.0			98.333		99.0	98.693		
NIGGIMMC_00055	100.0			98.125		98.333	98.333			100.0		98.75	99.167		
NIGGIMMC_00056	100.0	74.576	74.576	99.119	74.576	97.987	97.987	74.576	74.967	98.478	75.098	99.371	98.994	74.576	74.576
NIGGIMMC_00057	100.0	76.873	77.85	98.718	76.873	99.359	99.359	76.221	75.896	98.98	77.199	99.038	98.718	75.244	76.221
NIGGIMMC_00058	98.789	69.575	69.144	99.092	69.618	99.568	99.568	70.237	69.834	99.056	70.425	98.271	99.3	69.622	69.321
NIGGIMMC_00059				99.849		100.0	100.0					100.0			
NIGGIMMC_00060	99.792	77.285	77.285	98.75	77.023	99.792	99.792	76.819	75.077	99.583	77.285	99.583	99.583	75.521	77.023
NIGGIMMC_00061	99.722	77.994	77.346	99.44	77.994	99.722	99.722	77.994	78.317	100.0	77.994	99.722	100.0	77.994	78.146
NIGGIMMC_00062	99.457	64.746	65.298	98.45	64.899	98.295	98.295	64.078	64.14	98.992	64.516	98.295	98.837	64.402	
NIGGIMMC_00063	99.762	77.295	77.053	99.516	77.053	99.274	99.762	76.812	78.095	99.762	77.295	96.368	98.063	77.053	76.812
NIGGIMMC_00064	100.0	75.988	76.48	97.997	76.281	98.712	96.996	74.671	77.12	97.997	75.988	99.142	97.997	75.11	75.22
NIGGIMMC_00065	100.0	75.33	76.211	99.365	76.211	98.095	98.095	76.0	75.771	99.048	75.33	98.73	99.048	76.0	76.211
NIGGIMMC_00066	100.0	85.398	84.956	100.0	84.956	99.111	99.111	84.956	84.956	99.556	84.956	100.0	100.0	85.398	84.956
NIGGIMMC_00067	100.0			99.169		99.481	99.585			99.265		99.273	99.169		
NIGGIMMC_00068	100.0	73.445	72.422	97.973	73.543	99.099	99.099	72.727	72.837		74.224	99.099	98.649	72.076	71.685
NIGGIMMC_00069	100.0			94.966		100.0	99.327			95.638		99.663	95.638		
NIGGIMMC_00070	100.0	64.595	64.255	99.161	64.306	99.448	99.117			96.331	64.595	98.952	99.476		64.595
NIGGIMMC_00071	99.43	74.747	74.747	98.955	75.96	99.05	98.86	74.442	74.19	98.765	75.025	99.24	99.335	74.949	75.152
NIGGIMMC_00072	99.467			99.467		99.733	100.0			99.467		98.933	99.467		
NIGGIMMC_00073	99.195			99.034		99.839	99.839			98.551		98.551	99.678		
NIGGIMMC_00074	98.785	72.175	72.175	99.055	72.034	99.19	98.92	72.316	71.893	98.785	72.175	98.516	99.055	72.316	72.458
NIGGIMMC_00075	99.803	69.463	71.0	98.817	70.134	98.422	98.817	71.044	71.044	99.408	70.134	99.014	99.803	70.134	69.128
NIGGIMMC_00076	99.715			98.575		96.581	96.866			97.151		96.296	99.43		
NIGGIMMC_00077	97.902	64.823	66.372	98.485	64.615	97.319	97.786			97.669	66.591	98.135	97.436		65.708
NIGGIMMC_00078	98.582			96.927		96.454	96.454			96.809		96.336	98.582		
NIGGIMMC_00079	96.133			91.877		93.063	93.063			97.79		91.877	95.273		
NIGGIMMC_00080	99.13	75.529	75.68	98.841	75.529	99.855	99.855	75.68	74.856	99.13	75.529	98.116	99.275	76.235	75.982
NIGGIMMC_00081	99.573	70.573	71.094	98.932	70.543	98.077	98.077	70.313	69.531	99.573	70.833	98.932	98.291	70.313	71.354
NIGGIMMC_00082	99.342			98.596		96.491	97.625			98.901		98.813	98.64		
NIGGIMMC_00083	96.647			98.817		93.491	96.45			96.647		96.252	98.422		
NIGGIMMC_00084				99.048									99.048		
NIGGIMMC_00085	82.313			82.313		98.246	82.313			82.313		82.313	82.313		
NIGGIMMC_00086	97.802			97.436		97.07	97.802			98.535		97.802	97.802		
NIGGIMMC_00087	99.206			99.603		98.016	99.206			99.603		99.603	99.603		
NIGGIMMC_00088	98.958			98.958		98.258	98.958			98.958		97.909	98.958		
NIGGIMMC_00089	99.747			96.705		97.212	99.24			99.24		97.465	96.705		
NIGGIMMC_00090	99.348			99.069		98.324	99.069			98.883		95.996	98.79		
NIGGIMMC_00091	100.0			99.01		99.34	99.34			99.34		97.36	99.34		
NIGGIMMC_00092	100.0			89.109		99.34	99.34			99.67		88.779	99.67		
NIGGIMMC_00093	100.0			97.619		99.66	99.66			99.66		93.197	99.66		
NIGGIMMC_00094	100.0			97.778		99.444	99.444			99.444			99.444		
NIGGIMMC_00095	99.727			86.45		99.727	99.727			100.0		89.891	87.263		
NIGGIMMC_00096	99.735			96.296		96.825	96.825			99.735		93.651	95.767		
NIGGIMMC_00097	100.0			97.403		97.403	97.403			100.0		93.506	98.701		
NIGGIMMC_00098	98.933			92.0						99.733		98.667	94.667		
NIGGIMMC_00099	97.059			89.418						99.612		100.0	88.889		
NIGGIMMC_00100	88.83									97.326		88.83	92.821		
NIGGIMMC_00101	95.255											95.848	94.781		
NIGGIMMC_00102				97.46						97.778			97.619		
NIGGIMMC_00103				96.226		98.742	98.742			91.824		97.484	96.226		
NIGGIMMC_00104	93.617			95.139		92.199	92.199			95.833		99.306	95.139		
NIGGIMMC_00105				95.897						95.897			95.897		
NIGGIMMC_00106	98.287			96.729		98.91	98.91			99.533		98.287	96.729		
NIGGIMMC_00107	98.788			96.847		95.602	95.602			96.667		88.631	96.847		
NIGGIMMC_00108	97.222			97.685		97.539	97.539			97.454		97.454	97.763		
NIGGIMMC_00109	95.667			97.333		95.333	95.333			96.667		97.667	97.333		
NIGGIMMC_00110	97.879			95.775		92.901	92.901			97.531		95.988	95.37		
NIGGIMMC_00111															
NIGGIMMC_00112				96.246		97.279	97.279		74.216			96.587	96.246	77.003	
NIGGIMMC_00113	100.0			98.068		98.551	98.551			94.686		99.034	97.101		
NIGGIMMC_00114	95.868									95.868			96.694		
NIGGIMMC_00115	100.0			94.66		95.146	95.146			93.72		96.602	94.686		
NIGGIMMC_00116	93.151			92.256		92.929	92.929			93.493		91.919	92.593		
NIGGIMMC_00117						83.448	83.448					85.287			
NIGGIMMC_00118						94.828	94.828			95.69		94.828	93.966		
NIGGIMMC_00119				95.455		100.0	100.0			97.895		97.475	93.583		
NIGGIMMC_00120				97.63		99.531	99.531			100.0		98.985	97.63		
NIGGIMMC_00121	97.36					99.34	99.34			96.7					
NIGGIMMC_00122	98.958			99.479		99.479	99.479			99.479		98.958	99.479		
NIGGIMMC_00123	96.111			94.167		95.0	95.0			96.667		94.722	96.667		
NIGGIMMC_00124				99.02		98.039	98.039			99.02		98.039	97.059		
NIGGIMMC_00125				93.103								92.655	95.402		
NIGGIMMC_00126						96.491	96.491			97.807					
NIGGIMMC_00127	94.109			92.241		92.098	92.098			93.257		89.67	90.517		
NIGGIMMC_00128	97.222									98.611					
NIGGIMMC_00129		88.722			89.888			91.729	88.722	97.378		90.637	91.386		89.513
NIGGIMMC_00130	100.0				86.806			89.583	88.889	95.139				93.056	
NIGGIMMC_00131	96.309	92.813		93.624	93.289	99.664	99.664			99.688		95.302	98.322		93.289
NIGGIMMC_00132	97.436			95.513		97.756	97.756			97.756		98.397	97.756		
