gene	AP018714	AP018715	Ben	Bill	Bob	Bop	Car	Carl	CCS1	KY549443	NC_027335	NC_029026	phief24c_oriented	TEX	V12_RAST
MHALOBAC_00001			97.826	99.275		96.377			86.957	87.681				86.232	98.551
MHALOBAC_00002									97.546	97.342				98.773	
MHALOBAC_00003			96.272	97.807		90.57			90.351	84.649				90.132	98.465
MHALOBAC_00004			97.101	98.068		97.585			91.063	92.995				93.961	96.86
MHALOBAC_00005			98.113	98.428											
MHALOBAC_00006			94.792	95.833		95.833									95.833
MHALOBAC_00007			96.465	96.97		96.97									96.97
MHALOBAC_00008			98.889	97.778		98.333							78.302		98.333
MHALOBAC_00009			96.759			92.593									
MHALOBAC_00010			99.315	97.26		96.599				94.558					97.279
MHALOBAC_00011		79.018	95.536	96.429	84.821	94.667						79.464	85.333		95.089
MHALOBAC_00012			97.884			97.884								98.942	98.413
MHALOBAC_00013									92.181					92.181	
MHALOBAC_00014			98.502	98.127											97.753
MHALOBAC_00015			96.714	96.714					93.427					93.427	
MHALOBAC_00016			99.603	97.222		97.619									97.619
MHALOBAC_00017			97.717	98.174					87.556	84.889				88.444	
MHALOBAC_00018			95.614	97.807		95.175			91.667	90.351				92.544	94.298
MHALOBAC_00019			96.045	96.045											
MHALOBAC_00020			95.752	96.405											
MHALOBAC_00021			94.444	94.444		90.909			92.424	87.879				93.939	90.909
MHALOBAC_00022			94.545	94.545		93.333			84.242	87.273				83.03	93.333
MHALOBAC_00023			96.588	96.063		92.248				87.228					92.248
MHALOBAC_00024			96.575	96.119		99.087				97.032					99.315
MHALOBAC_00025			97.751	97.912		96.787			96.627	97.269				96.225	96.787
MHALOBAC_00026			92.593	93.651		99.471			98.413	99.471				99.471	99.471
MHALOBAC_00027			95.816	95.682		99.19			95.142					93.657	93.387
MHALOBAC_00028			96.714	96.714											
MHALOBAC_00029		71.157	93.387	93.252		90.872				86.939	71.596			87.075	91.417
MHALOBAC_00030			95.473	96.296		95.473				90.123				90.947	95.062
MHALOBAC_00031			66.244	65.99						91.579				91.579	
MHALOBAC_00032			96.592	99.06		98.12			92.916	89.256				89.374	97.297
MHALOBAC_00033			98.876	99.625		100.0			97.378	87.64				87.64	99.625
MHALOBAC_00034			98.925	100.0		100.0			87.589	89.007				87.943	97.849
MHALOBAC_00035			95.906	98.538		99.123			94.152						96.199
MHALOBAC_00036			90.476	92.208		90.909			87.013	91.628				88.312	94.805
MHALOBAC_00037			98.99	99.327		98.99			80.479	88.552				80.822	97.306
MHALOBAC_00038			99.776	99.553		99.151			76.644	76.852				75.964	98.434
MHALOBAC_00039			95.99	95.99		97.243			84.539	85.176				84.04	97.243
MHALOBAC_00040			99.621	99.621		99.242			97.348	96.591				96.591	99.242
MHALOBAC_00041			97.762	97.917		98.302			96.142	95.756				95.37	97.84
MHALOBAC_00042			96.573	96.262		94.081			93.146	94.081				92.835	97.819
MHALOBAC_00043			97.432	97.568		98.514			89.474	90.148		64.669		90.148	97.973
MHALOBAC_00044			98.837	98.837		97.287			97.674	96.899				96.899	97.674
MHALOBAC_00045	65.06		96.059	96.059		96.716	65.0	65.0	93.103	93.432		65.191		93.432	95.567
MHALOBAC_00046			97.743	98.611		98.611			93.924	95.313				95.139	98.785
MHALOBAC_00047			97.175	97.363		96.987			97.363	96.987				97.363	
MHALOBAC_00048	67.687	67.219	97.721	97.721	69.038	99.145			96.296	97.151		67.687	69.038	96.296	98.006
MHALOBAC_00049			90.411	93.607		94.064				96.889				92.237	94.667
MHALOBAC_00050			85.537	85.537		95.635			95.736					95.238	96.552
MHALOBAC_00051			85.268	85.268											
MHALOBAC_00052			78.261	78.696											
MHALOBAC_00053															
MHALOBAC_00054			95.745	95.213		95.213			95.922	93.794				94.681	95.567
MHALOBAC_00055			94.444	94.444		94.265									94.624
MHALOBAC_00056			92.095	92.095		91.963				90.977					92.095
MHALOBAC_00057			98.498	98.498		97.598									97.598
MHALOBAC_00058		86.089	96.641	98.025		96.79		86.614		93.333	87.139		86.614		96.79
MHALOBAC_00059		85.714	99.02	99.02		97.059		84.762	97.059	97.059	85.714		85.714	96.078	98.039
MHALOBAC_00060															
MHALOBAC_00061		89.976	98.776	98.776		98.531		90.098	98.531	98.065	89.976		89.976	97.34	99.143
MHALOBAC_00062			96.911	96.911		99.512			94.472	97.236				95.772	95.285
MHALOBAC_00063			99.66	99.66		99.66			90.476	97.619				96.939	87.415
MHALOBAC_00064	70.356	68.972	99.688	99.792	68.972	99.896	67.85	69.17		88.153	68.836	69.17	68.639	88.153	93.873
MHALOBAC_00065			93.492	99.206		93.333			88.571	88.73				88.73	96.667
MHALOBAC_00066			98.133	99.6		98.8			91.733	90.133				91.2	97.333
MHALOBAC_00067			98.504	98.077		98.718			74.359	73.932				74.145	98.504
MHALOBAC_00068			98.485	98.864		99.242									98.106
MHALOBAC_00069			99.091	99.394		99.394									98.788
MHALOBAC_00070			98.387	98.925		97.984			94.444					94.583	98.118
MHALOBAC_00071			98.493	97.606		98.582			96.432					97.235	97.163
MHALOBAC_00072			98.374	98.78		98.916									97.561
MHALOBAC_00073			96.357	97.996		97.45									95.037
MHALOBAC_00074			97.619	98.413		98.148			95.184					95.184	98.928
MHALOBAC_00075			98.333	98.333		97.917			82.128	76.17				82.128	81.277
MHALOBAC_00076			99.341	99.341		98.551			81.259	81.119				81.119	81.425
MHALOBAC_00077			100.0	100.0		99.248			86.189	85.14				85.839	85.839
MHALOBAC_00078			99.792	98.958		94.323			95.26	67.484				95.625	95.99
MHALOBAC_00079			100.0	99.048		98.095			89.048	83.81				99.048	99.048
MHALOBAC_00080			99.849	99.095		98.492			96.341	96.833				98.492	99.246
MHALOBAC_00081			100.0	98.693		98.693			97.059	98.039				96.405	99.02
MHALOBAC_00082			100.0	100.0		99.134			98.701	97.835				98.701	100.0
MHALOBAC_00083			99.282	98.891		98.63			82.03					81.448	98.108
MHALOBAC_00084	77.83	77.465	98.222	97.778	77.83	98.667	77.83	77.83	97.778	98.222	77.465		77.465	98.222	98.667
MHALOBAC_00085															
MHALOBAC_00086			100.0	100.0		100.0			95.89					97.26	98.63
MHALOBAC_00087			100.0	100.0					100.0					97.26	100.0
MHALOBAC_00088			100.0	100.0		98.667			98.667					98.667	100.0
MHALOBAC_00089			99.729	99.729		99.187			96.419	97.796				98.374	96.419
MHALOBAC_00090			100.0	100.0		100.0			100.0	78.846				83.516	83.516
MHALOBAC_00091			100.0	100.0		100.0			100.0	100.0				100.0	100.0
MHALOBAC_00092			99.454	99.454		100.0			98.907	97.814				99.454	98.361
MHALOBAC_00094						100.0			96.053						
MHALOBAC_00095			100.0			100.0			96.512						
MHALOBAC_00096			100.0			100.0			98.592					100.0	100.0
MHALOBAC_00097			99.206			99.206			94.444					94.444	99.206
MHALOBAC_00098			100.0			98.016			96.429	98.413				95.635	98.413
MHALOBAC_00099			100.0			100.0			100.0					100.0	100.0
MHALOBAC_00100			100.0			100.0			98.611					98.611	100.0
MHALOBAC_00101			100.0			100.0			98.63	93.151				95.89	100.0
MHALOBAC_00102			98.701			100.0			98.701	96.104				100.0	100.0
MHALOBAC_00103			100.0			100.0			100.0	98.684				100.0	100.0
MHALOBAC_00104	95.833		100.0		95.833	100.0	95.833	95.833	100.0						100.0
MHALOBAC_00105	91.758	92.117	98.626		91.392	98.81	91.758	91.758	97.802		92.117		91.934		99.615
MHALOBAC_00106			93.243			93.243			93.243					98.649	93.243
MHALOBAC_00107			100.0	97.015		100.0			95.89					100.0	100.0
MHALOBAC_00108			100.0	100.0		100.0			98.649	100.0				98.649	100.0
MHALOBAC_00109			89.189	89.189		89.189			100.0					100.0	87.838
MHALOBAC_00110			100.0	100.0		100.0			100.0					100.0	100.0
MHALOBAC_00111			100.0	100.0		100.0			100.0					100.0	100.0
MHALOBAC_00112			100.0	100.0		100.0			97.826					94.565	100.0
MHALOBAC_00113			100.0	100.0											100.0
MHALOBAC_00114			100.0	100.0		100.0			100.0					100.0	100.0
MHALOBAC_00115			99.621	100.0		96.591			98.106	98.485				98.106	96.97
MHALOBAC_00116	82.405	82.405	100.0	100.0	82.405	100.0	82.405	82.405	99.138	99.138	82.405	82.405	82.405	99.425	100.0
MHALOBAC_00117			97.143	100.0		98.571			96.667	97.619				96.667	96.667
MHALOBAC_00118			98.135	100.0		97.669			98.368	99.068				98.601	98.368
MHALOBAC_00119			98.366	98.965	79.281	98.257			97.603		76.224	78.997	76.503	97.93	98.295
MHALOBAC_00120			99.054	99.291		98.463			97.281	97.644				97.281	99.054
MHALOBAC_00121	67.396	67.396	99.275	99.879	66.998	99.275	67.396	67.594	98.913	99.034	67.992	68.182	67.396	98.792	99.275
MHALOBAC_00122			99.72	100.0		99.16			98.88	98.039				98.88	99.16
MHALOBAC_00123			99.761	100.0		99.364			88.425	87.48				88.268	99.682
MHALOBAC_00124			98.942	99.894		98.836			98.307	97.884				98.836	99.048
MHALOBAC_00125	79.275	78.478	98.782	99.679	78.551	98.397	79.13	78.406	97.885	98.462	78.406	79.275	78.551	98.269	98.718
MHALOBAC_00126	75.107	75.751	99.873	100.0	75.536	99.873	75.536	75.751	97.338	98.859	75.751	75.536	75.322	97.465	99.873
MHALOBAC_00127			100.0	100.0		99.156			88.889	90.737				87.841	98.734
MHALOBAC_00128	82.078	82.229	99.508	99.578	82.004	98.805	81.346	82.229	97.75	98.101	83.09	82.374	82.078	98.101	98.805
MHALOBAC_00129			100.0	99.603		100.0			99.206	98.413				98.81	98.81
MHALOBAC_00130	76.436	75.733	99.331	100.0	76.319	99.108	76.553	75.733	98.439	98.328	76.671	76.436	76.671	98.885	99.22
MHALOBAC_00131	72.426	72.716	99.084	99.084	72.189	99.198	72.189	72.716	98.511	98.396	72.189	72.426	72.189	98.625	98.855
MHALOBAC_00132	72.698	72.857	99.199	100.0	72.857	99.199	72.54	72.857	98.718	97.756	73.95	72.857	72.857	98.718	98.558
MHALOBAC_00133	74.441	74.558	99.291	99.882	74.026	99.409	74.498	74.558	99.173	99.173	74.441	74.558	74.144	99.173	99.291
MHALOBAC_00134			99.583	100.0		99.583			100.0	98.333				99.583	99.583
MHALOBAC_00135	81.276	81.217	98.304	98.83	81.217	98.713	86.834	86.834	97.661	97.251	81.334	81.802	81.217	97.661	98.246
MHALOBAC_00136	88.618	86.525	99.291	97.4	86.998	99.527	88.347	88.347	97.872	94.55	88.618	86.052	86.998	98.104	99.527
MHALOBAC_00137	73.647	73.412	99.578	99.578	73.647	99.578	73.647	73.647	91.561	92.827	73.412	74.353	73.647	91.561	99.578
MHALOBAC_00138	78.351	78.179	99.663	99.495	78.179	99.495	78.351	78.351	94.613	95.286	78.007	78.694	78.007	94.949	99.663
MHALOBAC_00139	69.743	69.555	99.125	99.809	69.953	99.234	69.479	69.479	88.859	85.687	69.444	69.746	69.975	89.757	99.125
MHALOBAC_00140	70.234	70.234	98.888	98.729	70.179	99.086	69.944	69.944	90.913	91.984	70.17	69.889	70.125	91.151	98.532
MHALOBAC_00141	71.815	71.787	95.086	91.723	71.871	96.994	71.871	71.815	92.344	92.055	72.069	72.085	71.956	92.344	94.876
MHALOBAC_00142	63.348	63.348	95.321	96.273	63.935	95.362	63.727	63.846	84.388	85.191	63.348	62.988	63.53	83.776	92.061
MHALOBAC_00143			97.365	96.982		97.365								83.235	
MHALOBAC_00144			97.959	98.639		97.959			90.152	93.798				91.333	97.279
MHALOBAC_00145	74.332	74.667	98.099	97.076	74.777	98.099	74.852	74.852	94.152	96.053	74.203	75.074	74.704	96.491	97.807
